nom,prix,adresse,image
Perruches,Prix sur demande,"Point E, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_751123_uploaded_image1_1563297186.25.png)
Carpe Koï Japonaise ( Aquarium),50 000 CFA,"Dakar-Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_827220_uploaded_image1_1565349629.12.png)
Perruches,Prix sur demande,Sénégal,background-image:url(https://images.coinafrique.com/thumb_845280_uploaded_image1_1565952077.54.png)
Poisson d'aquarium,35 000 CFA,Sénégal,background-image:url(https://images.coinafrique.com/thumb_863425_uploaded_image1_1566425287.55.png)
Bœuf,400 000 CFA,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_885779_uploaded_image2_1566997623.56.png)
Chèvre Balami,200 000 CFA,"Saint Louis, Sénégal",background-image:url(https://images.coinafrique.com/thumb_917895_uploaded_image1_1567801722.96.png)
Verrat de race Large white,200 000 CFA,Sénégal,background-image:url(https://images.coinafrique.com/thumb_929881_uploaded_image1_1568141260.81.png)
Caille,1 000 CFA,"Grand Yoff, Dakar, Sénégal",""
Oies  bourbonaises,50 000 CFA,"Thies, Sénégal",""
Mouton ladoum pure sang,Prix sur demande,Sénégal,background-image:url(https://images.coinafrique.com/thumb_1011139_uploaded_image1_1569950027.26.png)
Boeuf,Prix sur demande,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1129419_uploaded_image1_1572391697.86.png)
Bœufs,350 000 CFA,Sénégal,background-image:url(https://images.coinafrique.com/thumb_1198114_uploaded_image1_1573729988.56.png)
Paon bleu,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1310387_uploaded_image1_1575790267.47.png)
Oies,60 000 CFA,"Fass, Dakar, Sénégal",""
Oies,Prix sur demande,"Fass, Dakar, Sénégal",""
Cailles,12 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal",""
Perruches,Prix sur demande,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1389654_uploaded_image1_1577304861.89.png)
Oiseaux exotiques,20 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1393968_uploaded_image1_1577393598.45.png)
Perruches,Prix sur demande,"Mermoz-Sacré-Cœur, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1395598_uploaded_image1_1577437294.33.png)
Perruches,Prix sur demande,"Dakar, Sénégal",""
Oies de guinée,Prix sur demande,"Thies, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1417652_uploaded_image1_1577968881.34.png)
Cheval,400 000 CFA,"Fatick, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1421196_uploaded_image1_1578050637.48.png)
Cheval,400 000 CFA,"Fatick, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1421206_uploaded_image2_1578050744.82.png)
Oies toulouse,Prix sur demande,"Fass, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png)
Perruches,Prix sur demande,"Mermoz-Sacré-Cœur, Dakar, Sénégal",""
Perruches,Prix sur demande,"Point E, Dakar, Sénégal",""
Perruches,Prix sur demande,"Point E, Dakar, Sénégal",""
Biscuit en poudre pour betail,4 000 CFA,"Patte d'oie, Dakar, Sénégal",""
Dindes - canards et colverts,Prix sur demande,"Dakar, Sénégal",""
Bœuf,700 000 CFA,"Saint Louis, Sénégal",""
Vaches,275 000 CFA,"Rufisque, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1500655_uploaded_image1_1579358078.9.png)
Couple de chèvre,Prix sur demande,"Dakar, Sénégal",""
